Node 1
;time (s);Interarrival;Wait;Delay;Service;# in node;# in queue;Utilizzation;ploss;
;5011.20; 0.528127;2.717508;0.724778;1.992730;5.117085;1.364762;0.750465;0.0000;
;5032.80; 0.527646;2.724391;0.730479;1.993912;5.151771;1.381321;0.754090;0.0000;
;5054.40; 0.527806;2.725615;0.730240;1.995375;5.145269;1.378507;0.753352;0.0000;
;5076.00; 0.528002;2.736409;0.738531;1.997878;5.165223;1.394045;0.754236;0.0000;
;5097.60; 0.528344;2.733206;0.737038;1.996167;5.166514;1.393206;0.754662;0.0000;
;5119.20; 0.527476;2.751349;0.754036;1.997312;5.205393;1.426593;0.755760;0.0000;
;5140.80; 0.528128;2.751308;0.753043;1.998265;5.199327;1.423076;0.755250;0.0000;
;5162.40; 0.527959;2.752310;0.753256;1.999054;5.195259;1.421845;0.754683;0.0000;
;5184.00; 0.528209;2.748175;0.750581;1.997594;5.191135;1.417801;0.754667;0.0000;
;5205.60; 0.528428;2.745205;0.747861;1.997344;5.184519;1.412390;0.754426;0.0000;
;5227.20; 0.528729;2.744513;0.746044;1.998470;5.181763;1.408563;0.754640;0.0000;
;5248.80; 0.528367;2.756151;0.755662;2.000489;5.206987;1.427615;0.755874;0.0000;
;5270.40; 0.529080;2.755043;0.753943;2.001100;5.200671;1.423211;0.755492;0.0000;
;5292.00; 0.529322;2.756499;0.755127;2.001372;5.199850;1.424469;0.755076;0.0000;
;5313.60; 0.528886;2.771905;0.767127;2.004778;5.223836;1.445701;0.755627;0.0000;
;5335.20; 0.528632;2.785095;0.782166;2.002929;5.251835;1.474925;0.755382;0.0000;
;5356.80; 0.528231;2.786717;0.782537;2.004180;5.264912;1.478438;0.757295;0.0000;
;5378.40; 0.527884;2.787801;0.784231;2.003570;5.268541;1.482083;0.757292;0.0000;
;5400.00; 0.527025;2.801104;0.797795;2.003309;5.294429;1.507931;0.757300;0.0000;
;5421.60; 0.527090;2.805989;0.801857;2.004131;5.306551;1.516434;0.758023;0.0000;
;5443.20; 0.526963;2.805238;0.800423;2.004814;5.311391;1.515508;0.759177;0.0000;
;5464.80; 0.527069;2.804623;0.798338;2.006285;5.309786;1.511434;0.759670;0.0000;
;5486.40; 0.526522;2.803364;0.797355;2.006009;5.316538;1.512171;0.760873;0.0000;
;5508.00; 0.527233;2.801920;0.795199;2.006721;5.305004;1.505586;0.759883;0.0000;
;5529.60; 0.526758;2.807887;0.800131;2.007756;5.315947;1.514823;0.760225;0.0000;
;5551.20; 0.526710;2.804790;0.798724;2.006066;5.314247;1.513345;0.760180;0.0000;
;5572.80; 0.526749;2.805327;0.797986;2.007341;5.308197;1.509937;0.759652;0.0000;
;5594.40; 0.527095;2.805030;0.796484;2.008546;5.308366;1.507302;0.760213;0.0000;
;5616.00; 0.527231;2.809975;0.799505;2.010470;5.312959;1.511664;0.760259;0.0000;
;5637.60; 0.527303;2.806200;0.796906;2.009295;5.314668;1.509261;0.761081;0.0000;
;5659.20; 0.527144;2.806002;0.795170;2.010831;5.305819;1.503574;0.760449;0.0000;
;5680.80; 0.527074;2.808627;0.798262;2.010364;5.318279;1.511551;0.761346;0.0000;
;5702.40; 0.526871;2.807696;0.796200;2.011495;5.320555;1.508792;0.762353;0.0000;
;5724.00; 0.527046;2.804105;0.794336;2.009769;5.313284;1.505126;0.761632;0.0000;
;5745.60; 0.526987;2.803155;0.793193;2.009961;5.306057;1.501426;0.760926;0.0000;
;5767.20; 0.526823;2.801087;0.792105;2.008982;5.308466;1.501154;0.761462;0.0000;
;5788.80; 0.526773;2.799663;0.791374;2.008290;5.304029;1.499276;0.760951;0.0000;
;5810.40; 0.526858;2.796719;0.789141;2.007577;5.297864;1.494882;0.760596;0.0000;
;5832.00; 0.526719;2.794608;0.787669;2.006939;5.283048;1.489044;0.758801;0.0000;
;5853.60; 0.527028;2.792197;0.785348;2.006848;5.290097;1.487921;0.760435;0.0000;
;5875.20; 0.526945;2.791724;0.784508;2.007216;5.288618;1.486166;0.760491;0.0000;
;5896.80; 0.527298;2.788389;0.782035;2.006353;5.278554;1.480431;0.759625;0.0000;
;5918.40; 0.527578;2.786860;0.780230;2.006629;5.268143;1.474909;0.758647;0.0000;
;5940.00; 0.527781;2.786366;0.779291;2.007076;5.264233;1.472300;0.758387;0.0000;
;5961.60; 0.527865;2.786669;0.778665;2.008004;5.268569;1.472170;0.759280;0.0000;
;5983.20; 0.527380;2.782727;0.775965;2.006761;5.268173;1.469034;0.759828;0.0000;
;6004.80; 0.526934;2.780447;0.774290;2.006158;5.264413;1.466016;0.759679;0.0000;
;6026.40; 0.526853;2.775116;0.771384;2.003732;5.251769;1.459806;0.758393;0.0000;
;6048.00; 0.526668;2.774014;0.769900;2.004114;5.254627;1.458370;0.759251;0.0000;
;6069.60; 0.526995;2.773463;0.768494;2.004970;5.254438;1.455942;0.759699;0.0000;
;6091.20; 0.527259;2.771856;0.766862;2.004994;5.243578;1.450689;0.758578;0.0000;
;6112.80; 0.527282;2.769270;0.765077;2.004193;5.223042;1.442991;0.756010;0.0000;
;6134.40; 0.527709;2.767929;0.763175;2.004754;5.230494;1.442155;0.757668;0.0000;
;6156.00; 0.527265;2.764445;0.760261;2.004183;5.232105;1.438903;0.758640;0.0000;
;6177.60; 0.527622;2.764445;0.760260;2.004185;5.230129;1.438357;0.758354;0.0000;
